Outbound flights:
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=11:05, arrivalTime=14:35, price=281.36, tax=79.36]
Flight [departureAirport=ARN, connectingAirport=OSL, arrivalAirport=LHR, departureTime=12:40, arrivalTime=16:25, price=281.36, tax=79.36]
Inbound flights:
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=06:40, arrivalTime=10:05, price=70.53, tax=50.53]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=21:05, arrivalTime=00:30, price=70.53, tax=50.53]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=10:35, arrivalTime=14:05, price=94.4, tax=55.4]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=13:55, arrivalTime=17:25, price=94.4, tax=55.4]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=18:15, arrivalTime=21:40, price=94.4, tax=55.4]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=19:05, arrivalTime=22:30, price=94.4, tax=55.4]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=07:05, arrivalTime=15:15, price=155.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=15:15, price=155.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=17:45, price=155.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=19:15, price=155.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=15:35, arrivalTime=22:25, price=155.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=17:30, arrivalTime=22:25, price=155.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=06:40, arrivalTime=10:05, price=79.53, tax=50.53]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=21:05, arrivalTime=00:30, price=79.53, tax=50.53]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=10:35, arrivalTime=14:05, price=103.4, tax=55.4]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=13:55, arrivalTime=17:25, price=103.4, tax=55.4]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=18:15, arrivalTime=21:40, price=103.4, tax=55.4]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=19:05, arrivalTime=22:30, price=103.4, tax=55.4]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=07:05, arrivalTime=15:15, price=164.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=15:15, price=164.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=17:45, price=164.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=19:15, price=164.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=15:35, arrivalTime=22:25, price=164.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=17:30, arrivalTime=22:25, price=164.75, tax=89.75]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=06:40, arrivalTime=10:05, price=151.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=10:35, arrivalTime=14:05, price=151.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=13:55, arrivalTime=17:25, price=151.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=18:15, arrivalTime=21:40, price=151.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=19:05, arrivalTime=22:30, price=151.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=21:05, arrivalTime=00:30, price=151.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=07:05, arrivalTime=15:15, price=212.67, tax=111.67]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=15:15, price=212.67, tax=111.67]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=17:45, price=212.67, tax=111.67]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=19:15, price=212.67, tax=111.67]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=15:35, arrivalTime=22:25, price=212.67, tax=111.67]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=17:30, arrivalTime=22:25, price=212.67, tax=111.67]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=06:40, arrivalTime=10:05, price=175.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=10:35, arrivalTime=14:05, price=175.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=13:55, arrivalTime=17:25, price=175.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=18:15, arrivalTime=21:40, price=175.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=19:05, arrivalTime=22:30, price=175.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=null, arrivalAirport=ARN, departureTime=21:05, arrivalTime=00:30, price=175.55, tax=89.55]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=07:05, arrivalTime=15:15, price=234.67, tax=111.67]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=15:15, price=234.67, tax=111.67]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=17:45, price=234.67, tax=111.67]
Flight [departureAirport=LHR, connectingAirport=OSL, arrivalAirport=ARN, departureTime=10:20, arrivalTime=19:15, price=234.67, tax=111.67]
